"file","source_row","field","value","problem"
"stomata-franks_reichgelt_2020.xlsx",12,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",13,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",14,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",15,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",16,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",17,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",18,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",19,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",20,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",21,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",22,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",23,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",24,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",25,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",26,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",27,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",28,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",29,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",30,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",31,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",32,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",33,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",34,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",35,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",36,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",37,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",38,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",39,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",40,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",41,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",42,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",43,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",44,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",45,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",46,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",47,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",48,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",49,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",50,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_reichgelt_2020.xlsx",51,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",4,"measurement",,"No primary proxy measurement mapped"
"stomata-franks_steinthorsdottir_2021.xlsx",5,"measurement",,"No primary proxy measurement mapped"
"stomata-franks_steinthorsdottir_2021.xlsx",4,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",5,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",6,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",7,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",8,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",9,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",10,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",11,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",12,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",13,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",14,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",15,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",16,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",17,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",18,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",19,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",20,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",21,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",22,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",23,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",24,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",25,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",26,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",27,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",28,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",29,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",30,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",31,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",32,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",33,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",34,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",35,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",36,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",37,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",38,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",39,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",40,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",41,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",42,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",43,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",44,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",45,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",46,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",47,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",48,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",49,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",50,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",51,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",52,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",53,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",54,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",55,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",56,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",57,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",58,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",59,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",60,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",61,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",62,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",63,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",64,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",65,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_steinthorsdottir_2021.xlsx",66,"C","please enter value manually","Archive link not yet assigned"
"stomata-franks_tesfamichael_2017.xlsx",4,"C","please enter value manually","Archive link not yet assigned"
"stomata-konrad-fom_erdei_2012.xlsx",,"sheet","leaf gas-exchange_FOM; Specifications and References","Unsupported plant method; no Franks sheet, workbook not generated"
"stomata-konrad-fom_grein_2013.xlsx",,"sheet","leaf gas-exchange_FOM; Specifications and References","Unsupported plant method; no Franks sheet, workbook not generated"
"stomata-konrad-fom_moraweck_2019.xlsx",,"sheet","leaf gas-exchange_FOM; Specifications and References","Unsupported plant method; no Franks sheet, workbook not generated"
"stomata-konrad-fom_roth-nebelsick_2014.xlsx",,"sheet","leaf gas-exchange_FOM; Specifications and References","Unsupported plant method; no Franks sheet, workbook not generated"
"stomata-konrad-rom_sun_2017.xlsx",,"sheet","leaf gas-exchange_ROM; Specifications and References","Unsupported plant method; no Franks sheet, workbook not generated"
"stomata-sd_hu_2015.xlsx",,"sheet","stomatal density; age data; read me; vocabs","Unsupported plant method; no Franks sheet, workbook not generated"
"stomata-sd_huang_2016.xlsx",,"sheet","stomatal density; age data; read me; vocabs","Unsupported plant method; no Franks sheet, workbook not generated"
"stomata-sd_stults_2011.xlsx",,"sheet","stomatal density","Unsupported plant method; no Franks sheet, workbook not generated"
"stomata-si_barclay_2016.xlsx",,"sheet","Stomatal index","Unsupported plant method; no Franks sheet, workbook not generated"
"stomata-si_beerling_2009.xlsx",,"sheet","stomatal index; age data; template completion ; Modernization criteria","Unsupported plant method; no Franks sheet, workbook not generated"
"stomata-si_kuerschner_1996.xlsx",,"sheet","Stomatal index","Unsupported plant method; no Franks sheet, workbook not generated"
"stomata-si_kuerschner_2008.xlsx",,"sheet","Stomatal index","Unsupported plant method; no Franks sheet, workbook not generated"
"stomata-si_maxbauer_2014.xlsx",,"sheet","stomatal index","Unsupported plant method; no Franks sheet, workbook not generated"
"stomata-si_steinthorsdottir_2019a.xlsx",,"sheet","Stomatal index","Unsupported plant method; no Franks sheet, workbook not generated"
"stomata-si_wang_2015.xlsx",,"sheet","Stomatal index","Unsupported plant method; no Franks sheet, workbook not generated"
"stomata-sr_mcelwain_2002.xlsx",,"sheet","stomatal ratio; age data; template completion ; Modernization criteria","Unsupported plant method; no Franks sheet, workbook not generated"
"stomata-sr_steinthorsdottir_2016a.xlsx",,"sheet","stomatal ratio; age data; template completion ; Modernization criteria","Unsupported plant method; no Franks sheet, workbook not generated"
"stomata-sr_steinthorsdottir_2019a.xlsx",,"sheet","stomatal ratio","Unsupported plant method; no Franks sheet, workbook not generated"
"stomata-sr_sun_2012.xlsx",,"sheet","Stomatal ratio","Unsupported plant method; no Franks sheet, workbook not generated"
